# First line is two numbers 
#     First value is '2', it means 'histogram mode'
#     Second value is 'Emin' of the histogram
# Other lines : 2 columns. 1) energy 2) Bin Width 2) frequency (nb divided by NbEvent)
# Number of bins = 1000
# Content below the first bin: 0
# Content above the last  bin: 0
# Number of events: 19993156
2 0
0.2915 0.001 1.2424e+06
0.2925 0.001 1.19895e+06
0.2935 0.001 1.20303e+06
0.2945 0.001 1.25603e+06
0.2955 0.001 1.21804e+06
0.2965 0.001 1.21149e+06
0.2975 0.001 1.20163e+06
0.2985 0.001 1.19918e+06
0.2995 0.001 1.17496e+06
0.3005 0.001 1.20314e+06
0.3015 0.001 1.15854e+06
0.3025 0.001 1.19254e+06
0.3035 0.001 1.15345e+06
0.3045 0.001 1.19082e+06
0.3055 0.001 1.14757e+06
0.3065 0.001 1.15311e+06
0.3075 0.001 1.11987e+06
0.3085 0.001 1.15612e+06
0.3095 0.001 1.10515e+06
0.3105 0.001 1.13274e+06
0.3115 0.001 1.15764e+06
0.3125 0.001 1.17567e+06
0.3135 0.001 1.07278e+06
0.3145 0.001 1.13782e+06
0.3155 0.001 1.10029e+06
0.3165 0.001 1.11756e+06
0.3175 0.001 1.08877e+06
0.3185 0.001 1.12369e+06
0.3195 0.001 1.08483e+06
0.3205 0.001 1.09219e+06
0.3215 0.001 1.08092e+06
0.3225 0.001 1.07144e+06
0.3235 0.001 1.06716e+06
0.3245 0.001 1.05572e+06
0.3255 0.001 1.0877e+06
0.3265 0.001 1.07128e+06
0.3275 0.001 1.09355e+06
0.3285 0.001 1.0953e+06
0.3295 0.001 1.089e+06
0.3305 0.001 1.05609e+06
0.3315 0.001 1.02989e+06
0.3325 0.001 1.0597e+06
0.3335 0.001 1.06895e+06
0.3345 0.001 1.05773e+06
0.3355 0.001 1.1032e+06
0.3365 0.001 1.06514e+06
0.3375 0.001 1.03387e+06
0.3385 0.001 1.05708e+06
0.3395 0.001 1.0553e+06
0.3405 0.001 1.05969e+06
0.3415 0.001 1.08559e+06
0.3425 0.001 1.06039e+06
0.3435 0.001 1.02075e+06
0.3445 0.001 1.06021e+06
0.3455 0.001 1.03202e+06
0.3465 0.001 1.01643e+06
0.3475 0.001 1.07142e+06
0.3485 0.001 1.0289e+06
0.3495 0.001 1.04707e+06
0.3505 0.001 1.06282e+06
0.3515 0.001 1.05308e+06
0.3525 0.001 1.04127e+06
0.3535 0.001 1.04034e+06
0.3545 0.001 1.01414e+06
0.3555 0.001 1.0242e+06
0.3565 0.001 1.03587e+06
0.3575 0.001 1.00634e+06
0.3585 0.001 1.01639e+06
0.3595 0.001 1.03041e+06
0.3605 0.001 1.02329e+06
0.3615 0.001 1.01008e+06
0.3625 0.001 999136
0.3635 0.001 1.05058e+06
0.3645 0.001 1.01631e+06
0.3655 0.001 1.00817e+06
0.3665 0.001 993452
0.3675 0.001 970641
0.3685 0.001 971124
0.3695 0.001 973197
0.3705 0.001 1.06798e+06
0.3715 0.001 997050
0.3725 0.001 1.04583e+06
0.3735 0.001 993032
0.3745 0.001 1.00509e+06
0.3755 0.001 1.01752e+06
0.3765 0.001 1.00025e+06
0.3775 0.001 1.02049e+06
0.3785 0.001 1.03885e+06
0.3795 0.001 1.00339e+06
0.3805 0.001 994097
0.3815 0.001 1.01734e+06
0.3825 0.001 972953
0.3835 0.001 1.01962e+06
0.3845 0.001 1.00085e+06
0.3855 0.001 1.00778e+06
0.3865 0.001 1.00433e+06
0.3875 0.001 1.04631e+06
0.3885 0.001 981670
0.3895 0.001 1.03714e+06
0.3905 0.001 998552
0.3915 0.001 1.00689e+06
0.3925 0.001 1.01361e+06
0.3935 0.001 987257
0.3945 0.001 962472
0.3955 0.001 975404
0.3965 0.001 977945
0.3975 0.001 999977
0.3985 0.001 999821
0.3995 0.001 985547
0.4005 0.001 985031
0.4015 0.001 1.00604e+06
0.4025 0.001 993282
0.4035 0.001 1.02214e+06
0.4045 0.001 996005
0.4055 0.001 963148
0.4065 0.001 1.00196e+06
0.4075 0.001 972359
0.4085 0.001 947547
0.4095 0.001 1.01149e+06
0.4105 0.001 993420
0.4115 0.001 981718
0.4125 0.001 977064
0.4135 0.001 986284
0.4145 0.001 989086
0.4155 0.001 969980
0.4165 0.001 964533
0.4175 0.001 975026
0.4185 0.001 991737
0.4195 0.001 1.00511e+06
0.4205 0.001 951181
0.4215 0.001 960928
0.4225 0.001 979944
0.4235 0.001 995313
0.4245 0.001 1.02463e+06
0.4255 0.001 958545
0.4265 0.001 1.00101e+06
0.4275 0.001 971232
0.4285 0.001 964841
0.4295 0.001 979105
0.4305 0.001 983885
0.4315 0.001 1.02024e+06
0.4325 0.001 968341
0.4335 0.001 953214
0.4345 0.001 964535
0.4355 0.001 954667
0.4365 0.001 952204
0.4375 0.001 985631
0.4385 0.001 962323
0.4395 0.001 973759
0.4405 0.001 958178
0.4415 0.001 986211
0.4425 0.001 987493
0.4435 0.001 949078
0.4445 0.001 933826
0.4455 0.001 997583
0.4465 0.001 970557
0.4475 0.001 921812
0.4485 0.001 959299
0.4495 0.001 945386
0.4505 0.001 982002
0.4515 0.001 987190
