# First line is two numbers 
#     First value is '2', it means 'histogram mode'
#     Second value is 'Emin' of the histogram
# Other lines : 2 columns. 1) energy 2) Bin Width 2) frequency (nb divided by NbEvent)
# Number of bins = 1000
# Content below the first bin: 0
# Content above the last  bin: 0
# Number of events: 36845
2 0
0.8305 0.001 0
0.8315 0.001 0
0.8325 0.001 0
0.8335 0.001 0
0.8345 0.001 0
0.8355 0.001 0
0.8365 0.001 0
0.8375 0.001 0
0.8385 0.001 0
0.8395 0.001 0
0.8405 0.001 0
0.8415 0.001 0
0.8425 0.001 0
0.8435 0.001 0
0.8445 0.001 0
0.8455 0.001 0
0.8465 0.001 0
0.8475 0.001 0
0.8485 0.001 0
0.8495 0.001 0
0.8505 0.001 0
0.8515 0.001 0
0.8525 0.001 0
0.8535 0.001 0
0.8545 0.001 0
0.8555 0.001 0
0.8565 0.001 0
0.8575 0.001 0
0.8585 0.001 0
0.8595 0.001 0
0.8605 0.001 0
0.8615 0.001 0
0.8625 0.001 0
0.8635 0.001 0
0.8645 0.001 0
0.8655 0.001 0
0.8665 0.001 0
0.8675 0.001 0
0.8685 0.001 0
0.8695 0.001 0
0.8705 0.001 0
0.8715 0.001 0
0.8725 0.001 0
0.8735 0.001 0
0.8745 0.001 0
0.8755 0.001 0
0.8765 0.001 0
0.8775 0.001 0
0.8785 0.001 0
0.8795 0.001 0
0.8805 0.001 0
0.8815 0.001 0
0.8825 0.001 0
0.8835 0.001 0
0.8845 0.001 0
0.8855 0.001 0
0.8865 0.001 0
0.8875 0.001 0
0.8885 0.001 0
0.8895 0.001 0
0.8905 0.001 0
0.8915 0.001 0
0.8925 0.001 0
0.8935 0.001 0
0.8945 0.001 0
0.8955 0.001 0
0.8965 0.001 0
0.8975 0.001 0
0.8985 0.001 0
0.8995 0.001 0
0.9005 0.001 0
0.9015 0.001 0
0.9025 0.001 0
0.9035 0.001 0
0.9045 0.001 0
0.9055 0.001 0
0.9065 0.001 0
0.9075 0.001 0
0.9085 0.001 0
0.9095 0.001 0
0.9105 0.001 0
0.9115 0.001 0
0.9125 0.001 0
0.9135 0.001 0
0.9145 0.001 0
0.9155 0.001 0
0.9165 0.001 0
0.9175 0.001 0
0.9185 0.001 0
0.9195 0.001 0
0.9205 0.001 0
0.9215 0.001 0
0.9225 0.001 0
0.9235 0.001 0
0.9245 0.001 0
0.9255 0.001 0
0.9265 0.001 0
0.9275 0.001 0
0.9285 0.001 0
0.9295 0.001 0
0.9305 0.001 0
0.9315 0.001 0
0.9325 0.001 0
0.9335 0.001 0
0.9345 0.001 0
0.9355 0.001 0
0.9365 0.001 0
0.9375 0.001 0
0.9385 0.001 0
0.9395 0.001 0
0.9405 0.001 0
0.9415 0.001 0
0.9425 0.001 0
0.9435 0.001 0
0.9445 0.001 0
0.9455 0.001 0
0.9465 0.001 0
0.9475 0.001 0
0.9485 0.001 0
0.9495 0.001 0
0.9505 0.001 0
0.9515 0.001 0
0.9525 0.001 0
0.9535 0.001 0
0.9545 0.001 0
0.9555 0.001 0
0.9565 0.001 0
0.9575 0.001 0
0.9585 0.001 0
0.9595 0.001 0
0.9605 0.001 0
0.9615 0.001 0
0.9625 0.001 0
0.9635 0.001 0
0.9645 0.001 0
0.9655 0.001 0
0.9665 0.001 0
0.9675 0.001 0
0.9685 0.001 0
0.9695 0.001 0
0.9705 0.001 0
0.9715 0.001 0
0.9725 0.001 0
0.9735 0.001 0
0.9745 0.001 0
0.9755 0.001 0
0.9765 0.001 0
0.9775 0.001 0
0.9785 0.001 0
0.9795 0.001 0
0.9805 0.001 0
0.9815 0.001 0
0.9825 0.001 0
0.9835 0.001 0
0.9845 0.001 0
0.9855 0.001 0
0.9865 0.001 0
0.9875 0.001 0
0.9885 0.001 0
0.9895 0.001 0
0.9905 0.001 0
0.9915 0.001 0
0.9925 0.001 0
0.9935 0.001 0
0.9945 0.001 0
0.9955 0.001 0
0.9965 0.001 0
0.9975 0.001 0
0.9985 0.001 0
